english;français
operations;une unité de production, les sites de production
to catch a glimpse of;entrevoir (expr…)
What day is it today ?;Quel jour sommes-nous aujourd'hui ?
Do come in and make yourself at home.;Entrez donc, faites comme chez vous.
to buy sthg on hire purchase;acheter quelque chose à crédit
My brother has fallen in love with her.;Mon frère est tombé amoureux d'elle.
You can buy your clothes here if you want, but you'll through the nose.;Tu peux acheter tes vêtements ici si tu veux, mais tu va payer le prix fort.
a joint-venture;une co-entreprise
grating;grinçant, agaçant, énervant / discordant
The information is misleading.;Les informations sont trompeuses.
The information is updated every three months.;Les informations sont mises à jour tous les trois mois.
Come tomorrow, preferably in the morning.;Venez demain, de préférence en matinée.
a log;une bûche / un registre, un carnet de bord
Lord Hinkley is definitely upper crust.;Lord Hinkley fait vraiment partie du gratin.
finicky;pointilleux
I could do with some advice.;Un conseil serait le bienvenu.
I'm going to have to leave you;Je vais devoir vous laisser
without further ado;sans plus tarder
wrought;forgé, façonné
readings;les lectures
Hamilton agreed to give up on one condition.;Hamilton accepta de renoncer à une seule condition.
My date didn't show up.;On m'a posé un lapin.
"I've changed my mind; I'll have the fish instead of the meat.";J'ai changé d'avis, je prendrai le poisson au lieu de la viande.
I'm reading computer studies.;J'étudie l'informatique.
laity (common name);les laïcs
millions of people;des millions de personnes
a loaf of (sliced) bread;une miche de pain (généralement tranché)
I'm dying to know the score of the match.;Je meurs d'envie de connaître le résultat du match.
a floral pattern;un motif floral
How are you making out at your new job?;Comment te débrouilles-tu dans ton nouveau boulot ?
Walking in the rain isn't my idea of fun.;Je ne peux pas dire que j'aime marcher sous la pluie.
the liver;le foie
to dive;plonger, faire de la plongée
I wouldn't say no to a cold drink.;Je prendrais volontiers une boisson fraîche.
a fortnight;une quinzaine de jours
Is this one in the sale as well?;Est-ce que celui-ci est soldé aussi ?
She blushed at the thought.;Elle rougit à cette pensée.
What do you think about the plan to build a by-pass around the village?;Que pensez-vous du projet de construire une rocade autour du village ?
a friar;un frère (moine)
We had to trudge three miles across the fields into the pouring rain.;Nous avons dû marcher péniblement pendant 5 km à travers champs sous une pluie battante.
They won't take no for an answer.;Ils n'accepteront aucun refus.
an Automated Teller Machine (ATM);un distributeur automatique
The children are awake. There goes our lie-in.;Les enfants sont réveillés. Adieu notre grasse matinée.
Could we have the bill, please?;L'addition, s'il vous plaît.
You shouldn't use threatening language.;Vous ne devriez pas faire des menaces.
a timestamp;un horodatage
a merger;une fusion (écon.)
a rule of thumb;une règle d'or
Having eaten more than usual, I felt sick.;Ayant mangé plus que d'habitude, je suis tombé malade.
to run out;expirer, s’épuiser, venir à manquer
pennyworth;de la valeur d'un penny
to tighten the brakes;resserrer les freins (automobile)
a convict;un condamné (dr.)
The mob stabbed the policeman to death.;La foule a poignardé le policier à mort.
thorny;épineux
a drawer;un tiroir
lots of (coll.);des tas de
I failed my exam.;J'ai raté mon examen.
a plug (techn.);une prise de courant
My arm is very sore.;Mon bras me fait très mal.
the leniency;la clémence, l'indulgence
vintage (adj.);cru / ancien
an executive board;un conseil de direction
in dissent;en désaccord
the hare;le lièvre
We still have to get across Paris.;Nous devons encore traverser Paris.
in awe (expr.);en admiration
one million people;un million de personnes
It really stands out that he's not a local.;On voit vraiment qu'il n'est pas d'ici.
hawthorne (common name);l'aubépine
to ship;expédier
Be quiet and don't get in my way.;Reste tranquille et ne me gêne pas.
a scourge / a flail;un fléau, un fouet
the counterpart;l'homologue, l'équivalent
He was pushing for a pay rise.;Il insistait pour avoir une augmentation de salaire.
I don't see the point of redooing it.;Je ne vois pas l'intérêt de le refaire.
In my lecture, I shall deal with…;Dans ma conférence, je traiterai de …
in his premises;chez lui
subcontracting (common name);la sous-traitance (s…)
to wash up (USA);se laver
to spot;repérer
a rubbing;un frottement / un massage
the clove;le clou de girofle
I'm beginning to get bored.;Je commence à m'ennuyer.
a lad;un gamin, un jeune homme
manly (adj.);viril
a seizure;une saisie / une crise d'épilepsie
a broad swath;un large éventail
I like working as part of a team.;J'aime travailler au sein d'une équipe.
networking;l'établissement d’un réseau de relations
to wither;se dessécher, se faner
a skunk;une moufette
IMO;in my opinion
Can you gift-wrap it?;Pouvez-vous me faire un paquet-cadeau ?
I fell over.;Je suis tombé.
She has strong views on the subject.;Elle a des opinions bien arrêtées sur le sujet.
I couldn't care less if he comes or not.;Cela m'est complètement égal qu'il vienne ou non.
the backbench;In the UK: the benches behind the front benches on either side of the House of Commons, occupied by Members of Parliament who do not hold office in the government or the opposition
a guinea pig;un cochon d'inde / un cobaye
to make a mountain out of a molehill;exagérer l'importance de qq chose (expr.)
aies and noes;les oui et les non d'un vote
to cull;cueillir / sélectionner / élire
Are you quite sure he hasn't left yet?;Etes-vous bien sûr qu'il n'est pas encore parti ?
a turnover;un chiffre d'affaire / une rotation (de personnel ou de matériel)
I'm looking for the bathroom linen section.;Je cherche le rayon du linge de toilette.
head or tail;pile ou face
He's not exactly hard up.;Il n'est pas vraiment fauché.
a brushwork;un pinceau
a prey;une proie
the brainchild;l'invention due à une personne
a haddock;un églefin
a straw buyer (illegal business);un acheteur de paille (armes, drogues, …)
gas (common name);l'essence (US English / g...)
the chest;la poitrine / le coffre (propre et figuré)
a recress;une récréation
serendipituous (adj.);fortuit, découvert par hasard et avec bonheur
a will;une volonté / un testament
leatherware;la maroquinerie
These facts are totally unrelated.;Ces faits sont totalement décorrélés.
a repository;un dépôt, un entrepôt
fun-loving;aimer s'amuser (adj.)
They are capable of looking after themselves.;Ils sont capables de se débrouiller tout seuls.
rates and taxes;les impôts et contributions
Is there a cashpoint nearby?;Y a-t-il un distributeur près d'ici ?
a wasp;une guêpe
gaunt (adj.);décharné, émacié
a beacon;une balise, un phare, un fanal
The bang for the buck;Le rapport qualité-prix, le retour sur investissement
pruning (common name);la taille (d'un arbuste)
a foreman;un contremaître
a burden; une charge, un fardeau (b…)
a comb;un peigne
The cupboard is bare.;Le placard est vide.
an infringement;une infraction, une violation
an inconsistency;une incohérence
Good luck with the exams!;Bonne chance pour les examens !
Fancy Michael getting married so quickly!;Qui aurait pu imaginer que Michael se marierait si vite !
lead (common name);le plomb
Churchill was a great wielder of the english language, and this overly formal style annoyed him.;Churchill maniait formidablement bien la langue anglaise, et ce style trop formel l'agaça.
a threshold;un seuil
throwaway (adj.);jetable / désinvolte
to hatch;faire éclore / couver
to pinpoint;préciser, mettre le doigt sur
to look forward;avoir hâte
Cheaper still is to hitch-hike.;Encore moins cher : faire de l'auto-stop.
a spear;une lance, une pointe
a keyhole;un trou de serrure
a bargain;un marché, une affaire (b…)
cutting-edge / bleeding edge;dernier cri
I must fly.;Je dois y aller.
offing (common name);la partie la plus éloignée à l'horizon sur la mer
to embolden;enhardir
Follow this road up to the crossroads.;Suivez cette rue jusqu'au carrefour.
a kidney;un rein
to sag;dégringoler, fléchir
to pledge;promettre (solennellement)
a beverage;une boisson, un breuvage
tar (common name);le goudron
an abbot;un abbé
to shrink;se réduire
barbed;barbelé, acéré
a brothel;une maison close
You're telling me!;Tu parles !
back-up (adj.);supplémentaire, de réserve
I'll look after the kids.;Je garderai les enfants.
a night shift;une équipe de nuit / un poste de nuit
gubernatorial;du gouverneur
