English;Français;Date;Nb;Score;Taux;Good image;Taux2
spare parts;les pièces de rechange, les pièces détachées;05/09/2013;2;2;1;1,1;-0,1
to sneeze;éternuer;05/09/2013;2;2;1;1,1;-0,1
brass (common name);le laiton;05/09/2013;2;0;0;1,1;-1,1
the rib cage;la cage thoracique;05/09/2013;4;4;1;1,075;-0,08
a sheet;une feuille, une plaque, une tôle;05/09/2013;4;4;1;1,075;-0,08
a sprain;une foulure;05/09/2013;4;4;1;1,075;-0,08
a legal limbo;un vide juridique;05/09/2013;4;4;1;1,075;-0,08
the bladder;la vessie;05/09/2013;4;0;0;1,075;-1,08
to thump / to throb;palpiter;05/09/2013;5;5;1;1,0625;-0,06
a slash;une coupure;05/09/2013;5;3;0,6;1,0625;-0,46
dubious;douteux, suspect;05/09/2013;6;0;0;1,05;-1,05
a spade, a shovel;une pelle;05/09/2013;7;7;1;1,0375;-0,04
an alloy;un alliage;05/09/2013;7;7;1;1,0375;-0,04
ore (common name);le minerai;05/09/2013;7;7;1;1,0375;-0,04
a joint (anat.);une articulation (j…);05/09/2013;7;1;0,142857143;1,0375;-0,89
to pass on;transmettre (p…);05/09/2013;8;4;0,5;1,025;-0,53
to sting;piquer;05/09/2013;9;9;1;1,0125;-0,01
a recipient;un destinataire / un bénéfice / un rabais, une remise, un remboursement / un receveur (d’organe);05/09/2013;9;-3;-0,333333333;1,0125;-1,35
crutches (plural common name);les béquilles;05/09/2013;18;12;0,666666667;0,9;-0,23
a bump;une bosse;05/09/2013;18;12;0,666666667;0,9;-0,23
to attend;assister à, aller à;13/12/2013;0;0;0;1,125;-1,13
a wording;les termes, la formulation, le libellé;13/12/2013;0;0;0;1,125;-1,13
a strike;une grève;13/12/2013;0;0;0;1,125;-1,13
to undergo;subir;13/12/2013;0;0;0;1,125;-1,13
a concern;une entreprise;13/12/2013;0;0;0;1,125;-1,13
stocks & shares;les valeurs, les titres, les actions;13/12/2013;0;0;0;1,125;-1,13
exhaust fumes;les gaz d’échappement;13/12/2013;0;0;0;1,125;-1,13
perks;les avantages divers;13/12/2013;0;0;0;1,125;-1,13
a hearing;une audience (au tribunal, …);13/12/2013;0;0;0;1,125;-1,13
to drop off;déposer, laisser;13/12/2013;0;0;0;1,125;-1,13
to rent;louer;13/12/2013;0;0;0;1,125;-1,13
an accountant;un comptable;13/12/2013;0;0;0;1,125;-1,13
a checkbook;un chéquier;13/12/2013;0;0;0;1,125;-1,13
the inflow;l'afflux;13/12/2013;1;1;1;1,1125;-0,11
a casualty;un accident, un sinistre / une perte humaine;13/12/2013;1;1;1;1,1125;-0,11
a parcel;un paquet, un colis;13/12/2013;1;1;1;1,1125;-0,11
a break up;un démantèlement;13/12/2013;1;1;1;1,1125;-0,11
a billboard;un panneau d’affichage;13/12/2013;1;1;1;1,1125;-0,11
controls (common name);les boutons de commande;13/12/2013;1;1;1;1,1125;-0,11
a pool;une piscine / un billard américain;13/12/2013;1;1;1;1,1125;-0,11
to cash;encaisser;13/12/2013;1;1;1;1,1125;-0,11
itemization (common name);l'énumération, le fait de lister;13/12/2013;1;1;1;1,1125;-0,11
change (common name);de la monnaie (pièces, billets);13/12/2013;1;1;1;1,1125;-0,11
outsourcing;l'externalisation;13/12/2013;1;1;1;1,1125;-0,11
a bond;un lien / un titre, une obligation (fin.);13/12/2013;1;1;1;1,1125;-0,11
to take on;prendre, accepter, se charger de / embaucher / s’attaquer à;13/12/2013;1;1;1;1,1125;-0,11
a clerical work;un travail de bureau;13/12/2013;1;-1;-1;1,1125;-2,11
long-range;à long terme;13/12/2013;1;-1;-1;1,1125;-2,11
to stand out;ressortir, se détacher / trancher;13/12/2013;1;-1;-1;1,1125;-2,11
complimentary;à titre gracieux;13/12/2013;1;-1;-1;1,1125;-2,11
previous / prior (adj.);antécédent, antérieur;13/12/2013;1;-1;-1;1,1125;-2,11
thorough;complet, détaillé (th…);13/12/2013;1;-1;-1;1,1125;-2,11
to subside;s’affaisser, baisser, décroître (s…);13/12/2013;1;-1;-1;1,1125;-2,11
a publisher;un éditeur;13/12/2013;1;-1;-1;1,1125;-2,11
an assembly line;une chaîne de montage;13/12/2013;1;-1;-1;1,1125;-2,11
to waive;renoncer à, abandonner (w…);13/12/2013;1;-1;-1;1,1125;-2,11
no-frills;minimum, réduit à l’essentiel;13/12/2013;1;-1;-1;1,1125;-2,11
to endorse;appuyer, approuver, promouvoir (e…);13/12/2013;1;-1;-1;1,1125;-2,11
a vocational training;une formation professionnelle;13/12/2013;1;-1;-1;1,1125;-2,11
an allowance;une allocation, une indemnité / une réduction, un rabais;13/12/2013;1;-1;-1;1,1125;-2,11
a serial;un feuilleton;13/12/2013;1;-1;-1;1,1125;-2,11
to compel;obliger (c…);13/12/2013;1;-1;-1;1,1125;-2,11
a shelf;un rayon (d’une étagère, …);13/12/2013;1;-1;-1;1,1125;-2,11
domestic;national, intérieur;13/12/2013;2;2;1;1,1;-0,1
household appliances;les appareils ménagers;13/12/2013;2;2;1;1,1;-0,1
to figure out;arriver à comprendre;13/12/2013;2;2;1;1,1;-0,1
a civil servant;un fonctionnaire;13/12/2013;2;2;1;1,1;-0,1
deluxe;somptueux, de grand standing;13/12/2013;2;2;1;1,1;-0,1
barter (common name);du troc;13/12/2013;2;2;1;1,1;-0,1
income tax;l'impôt sur le revenu;13/12/2013;2;2;1;1,1;-0,1
a taxpayer;un contribuable;13/12/2013;2;2;1;1,1;-0,1
to register;s’inscrire;13/12/2013;2;2;1;1,1;-0,1
a shop steward;un délégué syndical;13/12/2013;2;2;1;1,1;-0,1
professionnal people;les personnes de profession libérale;13/12/2013;2;2;1;1,1;-0,1
a watchdog;un organisme régulateur;13/12/2013;2;0;0;1,1;-1,1
to amend;modifier (a…);13/12/2013;2;0;0;1,1;-1,1
to overcome;surmonter;13/12/2013;2;0;0;1,1;-1,1
a wholesaler;un grossiste;13/12/2013;2;-2;-1;1,1;-2,1
a remainder;un reste;13/12/2013;3;3;1;1,0875;-0,09
cordless / wireless;sans fil (c…);13/12/2013;3;3;1;1,0875;-0,09
waste disposal;l'élimination des déchets;13/12/2013;3;3;1;1,0875;-0,09
to withstand;résister;13/12/2013;3;3;1;1,0875;-0,09
customs duty;les droits de douane;13/12/2013;3;3;1;1,0875;-0,09
in bulk;en gros;13/12/2013;3;3;1;1,0875;-0,09
billing (common name);la facturation;13/12/2013;3;3;1;1,0875;-0,09
liability;la responsabilité (jurid.);13/12/2013;3;3;1;1,0875;-0,09
a zipper;une fermeture éclair;13/12/2013;3;3;1;1,0875;-0,09
to surge;monter soudainement;13/12/2013;3;3;1;1,0875;-0,09
to fund;financer;13/12/2013;3;3;1;1,0875;-0,09
a meter (techn.);un compteur (EDF, taxi, …);13/12/2013;3;3;1;1,0875;-0,09
an expense;une dépense;13/12/2013;3;3;1;1,0875;-0,09
a hard currency;une devise forte;13/12/2013;3;3;1;1,0875;-0,09
affordable;abordable;13/12/2013;3;3;1;1,0875;-0,09
regulatory;réglementaire;13/12/2013;3;1;0,333333333;1,0875;-0,75
to draw up;établir, rédiger;13/12/2013;3;1;0,333333333;1,0875;-0,75
a grant;une bourse (g…);13/12/2013;3;1;0,333333333;1,0875;-0,75
a charge (forensic);une inculpation, un chef d’inculpation;13/12/2013;3;1;0,333333333;1,0875;-0,75
to flourish;prospérer, être en plein essor (f…);13/12/2013;3;1;0,333333333;1,0875;-0,75
peak time;l'heure de pointe;13/12/2013;3;1;0,333333333;1,0875;-0,75
a warranty;une garantie;13/12/2013;3;1;0,333333333;1,0875;-0,75
a blueprint;un plan, un projet, un schéma directeur (b…);13/12/2013;3;-1;-0,333333333;1,0875;-1,42
a classified advertisement;une petite annonce;13/12/2013;3;-1;-0,333333333;1,0875;-1,42
amenities;l'aménagement, l'équipement / les agréments;13/12/2013;3;-1;-0,333333333;1,0875;-1,42
advanced;supérieur, poussé, de pointe (a…);13/12/2013;3;-1;-0,333333333;1,0875;-1,42
a haulier;un transporteur;13/12/2013;3;-3;-1;1,0875;-2,09
a registered mail;un courrier recommandé;13/12/2013;3;-3;-1;1,0875;-2,09
a branch (firm);une succursale, une agence;13/12/2013;3;-3;-1;1,0875;-2,09
to allocate;allouer, attribuer;13/12/2013;4;4;1;1,075;-0,08
sales (common name);les soldes / le chiffre d’affaire / le départment commercial;13/12/2013;4;4;1;1,075;-0,08
a manslaughter;un homicide involontaire;13/12/2013;4;4;1;1,075;-0,08
economical;bon marché;13/12/2013;4;4;1;1,075;-0,08
a fair;une foire d’exposition, un salon;13/12/2013;4;4;1;1,075;-0,08
the coverage;la couverture (sociale ou médiatique);13/12/2013;4;4;1;1,075;-0,08
dealings (common name);des transactions;13/12/2013;4;4;1;1,075;-0,08
an invoice;une facture (i…);13/12/2013;4;4;1;1,075;-0,08
a shipment;une cargaison, un fret, une expédition (s…);13/12/2013;4;2;0,5;1,075;-0,58
a scope;une portée, une étendue, un champ d’action, un domaine (s…);13/12/2013;4;2;0,5;1,075;-0,58
junk (common name);un déchet, un article mis au rebut (j…);13/12/2013;4;2;0,5;1,075;-0,58
a middle man;un intermédiaire (m…);13/12/2013;4;0;0;1,075;-1,08
a severance package;une indemnité de licenciement;13/12/2013;4;0;0;1,075;-1,08
a garbage;une ordure (g…);13/12/2013;4;0;0;1,075;-1,08
to disclose;divulguer, dévoiler;13/12/2013;4;0;0;1,075;-1,08
the acumen;la perspicacité, la finesse, le sens (a…);13/12/2013;4;-2;-0,5;1,075;-1,58
an incorporation;une fusion (i…);13/12/2013;4;-2;-0,5;1,075;-1,58
upcoming;imminent, prochain (u…);13/12/2013;4;-4;-1;1,075;-2,08
money supply (common name);la masse monétaire;13/12/2013;5;5;1;1,0625;-0,06
mainstream (adj.);majoritaire;13/12/2013;5;5;1;1,0625;-0,06
a leaflet;un prospectus;13/12/2013;5;5;1;1,0625;-0,06
a broker;un courtier en bourse;13/12/2013;5;5;1;1,0625;-0,06
to put through;conclure, mener à bien / mettre en communication;13/12/2013;5;5;1;1,0625;-0,06
power (common name);le pouvoir / l'énergie, l'électricité;13/12/2013;5;5;1;1,0625;-0,06
a stage;une étape, un stade (d’un processus, …) / une scène de théâtre;13/12/2013;5;5;1;1,0625;-0,06
to back out of;se retirer de, ne pas donner suite à;13/12/2013;5;5;1;1,0625;-0,06
an officer;un officier / un fonctionnaire, un membre du comité directeur;13/12/2013;5;5;1;1,0625;-0,06
supply & demand;l’offre & la demande;13/12/2013;5;5;1;1,0625;-0,06
a route;un itinéraire;13/12/2013;5;5;1;1,0625;-0,06
to post;annoncer;13/12/2013;5;3;0,6;1,0625;-0,46
to sue;poursuivre en justice;13/12/2013;5;3;0,6;1,0625;-0,46
a desktop;un ordinateur de bureau;13/12/2013;5;3;0,6;1,0625;-0,46
to charge;facturer / accuser;13/12/2013;5;3;0,6;1,0625;-0,46
to qualify;remplir les conditions;13/12/2013;5;1;0,2;1,0625;-0,86
a discount;une réduction, un rabais;13/12/2013;5;1;0,2;1,0625;-0,86
retail (common name);la vente au détail;13/12/2013;5;1;0,2;1,0625;-0,86
a downturn;une baisse, un repli, une récession (d…);13/12/2013;5;-3;-0,6;1,0625;-1,66
to swap;échanger (s…);13/12/2013;5;-3;-0,6;1,0625;-1,66
matter-of-fact (adj.);neutre, qui se limite aux faits;13/12/2013;6;6;1;1,05;-0,05
wares;les marchandises;13/12/2013;6;6;1;1,05;-0,05
a scheme;un plan, un système (s…);13/12/2013;6;6;1;1,05;-0,05
to spill;se renverser, se répandre;13/12/2013;6;6;1;1,05;-0,05
a shelter;un abri;13/12/2013;6;6;1;1,05;-0,05
round the clock;24h/24;13/12/2013;6;6;1;1,05;-0,05
an advance notice;un préavis;13/12/2013;6;4;0,666666667;1,05;-0,38
a corporate lawyer;un juriste d’entreprise;13/12/2013;6;0;0;1,05;-1,05
a department store;un grand magasin (d…);13/12/2013;6;-2;-0,333333333;1,05;-1,38
premises (adj.) (prèmissiz);locaux;13/12/2013;7;7;1;1,0375;-0,04
arrangements;les mesures, les dispositions, les préparatifs;13/12/2013;7;7;1;1,0375;-0,04
manpower (common name);la main d’œuvre;13/12/2013;7;7;1;1,0375;-0,04
a turnkey project;un projet clés en main;13/12/2013;7;7;1;1,0375;-0,04
a counter;un comptoir, un guichet;13/12/2013;7;7;1;1,0375;-0,04
a debtor;un débiteur;13/12/2013;7;7;1;1,0375;-0,04
freight (common name);le fret;13/12/2013;7;7;1;1,0375;-0,04
throughout;tout au long de;13/12/2013;7;7;1;1,0375;-0,04
a downtown;un centre-ville, un centre commerçant;13/12/2013;7;7;1;1,0375;-0,04
regardless of;sans tenir compte de;13/12/2013;7;5;0,714285714;1,0375;-0,32
a creditor;un créancier;13/12/2013;7;5;0,714285714;1,0375;-0,32
a rally;un évènement, une réunion (r…);13/12/2013;7;5;0,714285714;1,0375;-0,32
to enroll;s’inscrire (e…);13/12/2013;7;5;0,714285714;1,0375;-0,32
a landmark;un point de repère (l…);13/12/2013;7;5;0,714285714;1,0375;-0,32
a balance-sheet;un bilan;13/12/2013;7;3;0,428571429;1,0375;-0,61
a release;une publication, une parution / une libération;13/12/2013;7;3;0,428571429;1,0375;-0,61
a pink slip;une lettre de licenciement;13/12/2013;7;1;0,142857143;1,0375;-0,89
a redeployment;une reconversion;13/12/2013;7;1;0,142857143;1,0375;-0,89
a welfare system;un système de protection sociale;13/12/2013;7;1;0,142857143;1,0375;-0,89
a trolley;un chariot (t…);13/12/2013;7;1;0,142857143;1,0375;-0,89
bank holiday;un jour férié, un jour chômé légal;13/12/2013;7;1;0,142857143;1,0375;-0,89
a conveyor;un transporteur, un tapis roulant;13/12/2013;7;-3;-0,428571429;1,0375;-1,47
the corporate image;l'image de marque d’une société;13/12/2013;7;-3;-0,428571429;1,0375;-1,47
sneakers;des chaussures de sport;13/12/2013;8;8;1;1,025;-0,02
a quarter;un trimestre / une pièce de vingt-cinq cents;13/12/2013;8;8;1;1,025;-0,02
refillable;rechargeable, réutilisable;13/12/2013;8;8;1;1,025;-0,02
to market;commercialiser;13/12/2013;8;8;1;1,025;-0,02
to pile up;s’accumuler;13/12/2013;8;8;1;1,025;-0,02
a rating;une estimation, une évaluation, un taux (r…);13/12/2013;8;6;0,75;1,025;-0,28
a directory;un dossier / un annuaire, les renseignements;13/12/2013;8;4;0,5;1,025;-0,53
accordingly;en conséquence (a…);13/12/2013;8;4;0,5;1,025;-0,53
staggering;incroyable, saisissant;13/12/2013;8;4;0,5;1,025;-0,53
eventually;finalement (e…);13/12/2013;8;4;0,5;1,025;-0,53
foodstuffs;les denrées alimentaires;13/12/2013;8;0;0;1,025;-1,03
a labourer;un manœuvre (l…);13/12/2013;8;-2;-0,25;1,025;-1,28
household goods;les produits ménagers;13/12/2013;8;-2;-0,25;1,025;-1,28
a dish;un plat, une assiette / une antenne parabolique;13/12/2013;9;9;1;1,0125;-0,01
a remote control;une télécommande;13/12/2013;9;9;1;1,0125;-0,01
to lay off;licencier;13/12/2013;9;9;1;1,0125;-0,01
to skyrocket;monter en flèche;13/12/2013;9;9;1;1,0125;-0,01
a portfolio;un portefeuille (fin.);13/12/2013;9;9;1;1,0125;-0,01
commensurate with;de même mesure que, proportionné à;13/12/2013;9;9;1;1,0125;-0,01
social security benefits;les prestations sociales;13/12/2013;9;9;1;1,0125;-0,01
capital goods;les biens d’équipement;13/12/2013;9;7;0,777777778;1,0125;-0,23
red tape (expr.);la bureaucratie, la paperasserie;13/12/2013;9;7;0,777777778;1,0125;-0,23
an estate;une propriété, un patrimoine;13/12/2013;9;7;0,777777778;1,0125;-0,23
an overdraft;un découvert;13/12/2013;9;5;0,555555556;1,0125;-0,46
an announcement;un avis, une annonce;13/12/2013;9;3;0,333333333;1,0125;-0,68
incoming mail;le courrier du jour;13/12/2013;9;3;0,333333333;1,0125;-0,68
critical;crucial;13/12/2013;9;1;0,111111111;1,0125;-0,9
the deposit;les arrhes (d…);13/12/2013;9;-5;-0,555555556;1,0125;-1,57
caution (common name);la prudence;13/12/2013;10;8;0,8;1;-0,2
stock taking (common name);un inventaire (s…);13/12/2013;10;8;0,8;1;-0,2
to keep to;ne pas s’écarter de, respecter;13/12/2013;10;8;0,8;1;-0,2
to dispatch;expédier, envoyer (d…);13/12/2013;10;6;0,6;1;-0,4
affluence;l'abondance, la richesse (a…);13/12/2013;10;6;0,6;1;-0,4
a contribution;une cotisation;13/12/2013;10;2;0,2;1;-0,8
pervasive;envahissant (p…);13/12/2013;10;0;0;1;-1
to remodel;réorganiser, remanier;13/12/2013;10;0;0;1;-1
an extension;un report d’échéance (e…);13/12/2013;10;-2;-0,2;1;-1,2
an occupation;une profession (o…);13/12/2013;11;9;0,818181818;0,9875;-0,17
to reschedule;reporter;13/12/2013;11;-1;-0,090909091;0,9875;-1,08
a mortgage;une hypothèque;13/12/2013;12;10;0,833333333;0,975;-0,14
a clerk;un employé, un commis (c…);13/12/2013;12;10;0,833333333;0,975;-0,14
health benefits;les indemnités maladie;13/12/2013;12;6;0,5;0,975;-0,48
knowledg(e)able;bien informé, compétent (k…);13/12/2013;12;4;0,333333333;0,975;-0,64
subsidized;subventionné;13/12/2013;12;2;0,166666667;0,975;-0,81
to scatter;éparpiller, disperser;13/12/2013;12;-2;-0,166666667;0,975;-1,14
credit rating (common name);la solvabilité;13/12/2013;13;11;0,846153846;0,9625;-0,12
to award;accorder, décerner (a…);13/12/2013;13;9;0,692307692;0,9625;-0,27
a return (écon.);un rendement;13/12/2013;13;7;0,538461538;0,9625;-0,42
a bribe;un pot-de-vin;13/12/2013;14;12;0,857142857;0,95;-0,09
remote;lointain, éloigné / ancien (r…);13/12/2013;14;8;0,571428571;0,95;-0,38
well-off / well-to-do;aisé, riche (w…);13/12/2013;15;9;0,6;0,9375;-0,34
reengineering (common name);une reconfiguration, un reconception;13/12/2013;15;-1;-0,066666667;0,9375;-1
rubber (common name);le caoutchouc (r…);13/12/2013;15;-1;-0,066666667;0,9375;-1
moonlighting (common name);du travail non déclaré, un cumul d’emploi;13/12/2013;16;12;0,75;0,925;-0,18
an assignment;une assignation, une affectation;13/12/2013;16;12;0,75;0,925;-0,18
in effect;en vigueur;13/12/2013;16;10;0,625;0,925;-0,3
to step up;augmenter le rythme;13/12/2013;18;14;0,777777778;0,9;-0,12
a refund;un remboursement;13/12/2013;18;12;0,666666667;0,9;-0,23
blasted;foudroyé, fichu;15/04/2018;0;0;0;1,125;-1,13
knitting;le tricot, le tricotage;15/04/2018;1;1;1;1,1125;-0,11
to ape;singer, imiter;15/04/2018;1;1;1;1,1125;-0,11
to despise;mépriser (d…);15/04/2018;1;-1;-1;1,1125;-2,11
a sorrow;un chagrin, une douleur;15/04/2018;3;3;1;1,0875;-0,09
awhile;quelque temps, un moment;15/04/2018;3;3;1;1,0875;-0,09
to swell;se gonfler;15/04/2018;3;1;0,333333333;1,0875;-0,75
the Lent;le Carême;15/04/2018;5;5;1;1,0625;-0,06
a beggar;un mendiant;15/04/2018;7;7;1;1,0375;-0,04
towed;remorqué;16/04/2018;6;6;1;1,05;-0,05
We need a few more chairs.;Nous avons besoin de quelques chaises supplémentaires.;16/04/2018;6;6;1;1,05;-0,05
I'm seeing Pat tonight.;Je passe voir Patrick ce soir.;16/04/2018;6;6;1;1,05;-0,05
to skim;parcourir, feuilleter (s…);16/04/2018;6;-2;-0,333333333;1,05;-1,38
a stroke;un coup / un AVC;16/04/2018;11;9;0,818181818;0,9875;-0,17
She's hoarse, she's been singing all night.;Elle est enrouée, elle a chanté toute la nuit.;16/04/2018;13;12;0,923076923;0,9625;-0,04
I was glad I got a letter from him yesterday.;J'ai été content de recevoir une lettre de sa part hier.;16/04/2018;14;3;0,214285714;0,95;-0,74
I wish Paul had told them the truth.;J'aurais aimé que Paul leur dise la vérité.;16/04/2018;15;11;0,733333333;0,9375;-0,2
We had a lot of difficulty finding this house.;Nous avons eu de nombreuses difficultés à trouver cette maison.;16/04/2018;16;12;0,75;0,925;-0,18
I smoked a lot when I was young (I was smoking).;J'ai beaucoup fumé dans ma jeunesse.;16/04/2018;17;15;0,882352941;0,9125;-0,03
Hilary was sitting at the dressing table, brushing her hair.;Hilary était assise à la coiffeuse, peignant ses cheveux.;16/04/2018;17;11;0,647058824;0,9125;-0,27
She could have won the beauty contest, only she didn't give a damn.;Elle aurait pu gagner le concours de beauté, si seulement elle n'en avait pas qu'à sa tête.;16/04/2018;18;16;0,888888889;0,9;-0,01
I would rather you hadn't told me.;J'aurais préféré que tu ne me le dises pas.;16/04/2018;22;18;0,818181818;0,85;-0,03
the greenhouse effect;l'effet de serre;19/04/2018;1;1;1;1,1125;-0,11
Don't get so upset!;Ne te fâche pas !;17/05/2018;0;0;0;1,125;-1,13
a parochial outlook;une attitude bornée / un esprit de clocher;17/05/2018;0;0;0;1,125;-1,13
Fancy that!;Tu m'en diras tant !;17/05/2018;0;0;0;1,125;-1,13
to go under the hammer;vendre aux enchères;17/05/2018;0;0;0;1,125;-1,13
Thanks, I'll make do.;Merci, je ferai avec.;17/05/2018;1;1;1;1,1125;-0,11
The Royal Mint;L'Hôtel de la Monnaie;17/05/2018;1;-1;-1;1,1125;-2,11
He has lofty ideas.;Il a des idéaux élevés.;17/05/2018;1;-1;-1;1,1125;-2,11
a telling example;un exemple évocateur;17/05/2018;1;-1;-1;1,1125;-2,11
to show around;faire visiter;17/05/2018;2;2;1;1,1;-0,1
a packaging;un emballage;17/05/2018;2;2;1;1,1;-0,1
He's tight.;Il est saoûl.;17/05/2018;2;2;1;1,1;-0,1
to fill in a form;remplir un formulaire;17/05/2018;2;2;1;1,1;-0,1
shop-lifting;le chapardage;17/05/2018;2;2;1;1,1;-0,1
to point out;signaler;17/05/2018;2;-2;-1;1,1;-2,1
a slip of the tongue;un lapsus, la langue qui fourche;17/05/2018;2;-2;-1;1,1;-2,1
a peasant;un péquenot (péjoratif);17/05/2018;3;3;1;1,0875;-0,09
snuff (common name);du tabac à priser;17/05/2018;3;3;1;1,0875;-0,09
The Queen Elizabeth;"Le paquebot ""Queen Elizabeth""";17/05/2018;3;3;1;1,0875;-0,09
the span;l'envergure / l'empan;17/05/2018;3;-1;-0,333333333;1,0875;-1,42
a score of men;une vingtaine d'hommes;17/05/2018;4;4;1;1,075;-0,08
The chair's in the way.;La chaise est dans le passage.;17/05/2018;4;4;1;1,075;-0,08
colour-blind;daltonien;17/05/2018;4;4;1;1,075;-0,08
an ox / two oxen;un bœuf / deux bœufs;17/05/2018;4;4;1;1,075;-0,08
a nickel;une pièce de cinq cents (n…);17/05/2018;4;2;0,5;1,075;-0,58
a farmer;un paysan;17/05/2018;4;2;0,5;1,075;-0,58
a dish-washer;un lave-vaisselle;17/05/2018;4;0;0;1,075;-1,08
a business slump;un marasme économique;17/05/2018;4;-4;-1;1,075;-2,08
The Secretary of State;le Premier Ministre américain;17/05/2018;5;5;1;1,0625;-0,06
to be in good shape;être en bonne forme;17/05/2018;5;5;1;1,0625;-0,06
to peel;peler (un légume);17/05/2018;5;5;1;1,0625;-0,06
How about that for economical use of the langage?;N'est-ce pas un emploi économe de la langue ?;17/05/2018;6;6;1;1,05;-0,05
a gobbledegook;un charabia;17/05/2018;6;6;1;1,05;-0,05
