english;français;Date;Nb;Score;Taux;image
a blast;un jet / une rafale;2011-03-09;25;15;0.6;81.25
the layout;la disposition. l'arrangement;2011-03-09;21;12;0.57;86.25
intoxicated;ivre;2011-03-09;14;8;0.57;95.0
a dismay;une consternation. un effarement;2011-03-09;26;2;0.08;80.0
brisk;vif;2011-03-09;21;12;0.57;86.25
to prompt;suggérer;2011-03-09;28;16;0.57;77.5
a soar;un essort;2011-03-09;20;2;0.1;87.5
incipient (adj.);naissant;2011-03-09;18;10;0.56;90.0
to fetch;venir chercher quelqu'un;2011-03-09;21;18;0.86;86.25
It turns out that ...;Il semble que ;2011-03-09;20;17;0.85;87.5
to deceive;tromper;2011-03-09;17;10;0.59;91.25
the inroad;l'incursion. l'empiètement;2011-03-09;22;13;0.59;85.0
complacent;content de soi;2011-03-09;27;16;0.59;78.75
a general practitioner;un médecin généraliste;2011-03-09;27;16;0.59;78.75
a yield;une production. un rendement;2011-03-09;32;19;0.59;72.5
lead (common name);le plomb;2011-03-09;20;17;0.85;87.5
namely;à savoir;2011-03-09;16;13;0.81;92.5
owing to;en raison de;2011-03-09;20;9;0.45;87.5
to loathe;détester. exécrer;2011-03-09;12;0;0.0;97.5
a hall;un couloir;2011-03-09;20;8;0.4;87.5
altogether;aussitôt;2011-03-09;25;10;0.4;81.25
an overhaul;une révision (dans tous les sens);2011-03-09;25;9;0.36;81.25
a jolt;une secousse;2011-03-09;33;21;0.64;71.25
the underdog;l'opprimé. le perdant;2011-03-09;20;-2;-0.1;87.5
nimble (adj.);agile. leste;2011-03-09;34;6;0.18;70.0
a prejudice;un préjugé;2011-03-09;10;4;0.4;100.0
divisive;qui sème la discorde;2011-03-09;25;20;0.8;81.25
a bluster;un fracas;2011-03-09;21;-2;-0.1;86.25
a windmill;une éolienne;2011-03-09;16;0;0.0;92.5
an overflow;un débordement. des inondations;2011-03-09;19;12;0.63;88.75
a crackdown;une répression;2011-03-09;19;12;0.63;88.75
cutting-edge;dernier cri;2011-03-09;27;17;0.63;78.75
to lecture somebody;faire la leçon à quelqu'un;2011-03-09;11;6;0.55;98.75
to pick out;faire le tri;2011-03-09;21;-2;-0.1;86.25
to trigger;déclencher;2011-03-09;20;11;0.55;87.5
concrete (common name);le béton;2011-03-09;16;10;0.63;92.5
an apron;un tablier;2011-03-09;21;17;0.81;86.25
versatile;polyvalent;2011-03-09;16;10;0.63;92.5
selfsame;identique;2011-03-09;16;10;0.63;92.5
to compound;composer. combiner;2011-03-09;19;3;0.16;88.75
the turmoil;le tumulte. l'agitation;2011-03-09;23;-1;-0.04;83.75
stead;ferme. solide;2011-03-09;20;11;0.55;87.5
a stitch;un point de suture;2013-09-05;30;19;0.63;75.0
brass (common name);le laiton;2013-09-05;22;16;0.73;85.0
the liver;le foie;2013-09-05;22;16;0.73;85.0
an ointment;une pommade;2013-09-05;13;4;0.31;96.25
over-the-counter;en vente libre;2013-09-05;21;10;0.48;86.25
a slash;une coupure;2013-09-05;35;22;0.63;68.75
the sewage system;les égouts;2013-09-05;28;21;0.75;77.5
to sting;piquer;2013-09-05;26;19;0.73;80.0
a hunchback;un bossu;2013-09-05;28;9;0.32;77.5
to maim;estropier. mutiler;2013-09-05;28;18;0.64;77.5
a kidney;un rein;2013-09-05;31;23;0.74;73.75
an alloy;un alliage;2013-09-05;25;16;0.64;81.25
a midwife;une sage-femme;2013-09-05;22;5;0.23;85.0
clay (common name);de l'argile;2013-09-05;26;14;0.54;80.0
a framework;une charpente;2013-09-05;17;11;0.65;91.25
a twinge;un élancement;2013-09-05;25;12;0.48;81.25
ore (common name);le minerai;2013-09-05;26;16;0.62;80.0
to pass on;transmettre;2013-09-05;29;18;0.62;76.25
a hacksaw;une scie à métaux;2013-09-05;26;18;0.69;80.0
the rib cage;la cage thoracique;2013-09-05;19;13;0.68;88.75
to sneeze;éternuer;2013-09-05;25;14;0.56;81.25
a chemist;une pharmacie;2013-09-05;22;6;0.27;85.0
to weave;tisser;2013-09-05;22;6;0.27;85.0
the bladder;la vessie;2013-09-05;30;21;0.7;75.0
scaffolding (common name);les échafaudages;2013-09-05;19;10;0.53;88.75
to thump;palpiter;2013-09-05;27;19;0.7;78.75
stamina (common name);l'endurance;2013-09-05;24;13;0.54;82.5
a sprain;une foulure;2013-09-05;29;18;0.62;76.25
a spade. a shovel;une pelle;2013-09-05;31;22;0.71;73.75
dubious;douteux. suspect;2013-09-05;27;15;0.56;78.75
sound (adj.);sain;2013-09-05;16;9;0.56;92.5
a joint (anat.);une articulation;2013-09-05;27;18;0.67;78.75
a flu (influenza);une grippe;2013-09-05;14;7;0.5;95.0
a sore throat;un mal de gorge;2013-09-05;16;9;0.56;92.5
a sheet;une feuille. une plaque. une tôle;2013-09-05;14;8;0.57;95.0
spare parts;les pièces de rechange. les pièces détachées;2013-09-05;21;12;0.57;86.25
a legal limbo;un vide juridique;2013-09-05;20;16;0.8;87.5
the waist;la taille (physiol.);2013-09-05;24;10;0.42;82.5
to relieve;soulager. apaiser;2013-09-05;19;8;0.42;88.75
a hip;une hanche;2013-09-05;14;6;0.43;95.0
rubber (common name);le caoutchouc;2013-12-13;24;18;0.75;82.5
a patron;un client régulier;2013-12-13;22;9;0.41;85.0
workmanship;l'habileté professionnelle. la main-duvre;2013-12-13;22;9;0.41;85.0
affordable;abordable;2013-12-13;26;17;0.65;80.0
a representative;un représentant de commerce / un sénateur (U.S.A.);2013-12-13;26;17;0.65;80.0
to break down;tomber en panne;2013-12-13;21;-5;-0.24;86.25
a haulier;un transporteur;2013-12-13;26;17;0.65;80.0
a zipper;une fermeture éclair;2013-12-13;26;17;0.65;80.0
to sue;poursuivre en justice;2013-12-13;24;18;0.75;82.5
a proficiency;une grande compétence;2013-12-13;20;12;0.6;87.5
advanced;supérieur. poussé. de pointe;2013-12-13;29;19;0.66;76.25
to put off;retarder. repousser. différer;2013-12-13;22;-5;-0.23;85.0
a quotation;une proposition de prix;2013-12-13;21;11;0.52;86.25
to figure out;arriver à comprendre;2013-12-13;21;11;0.52;86.25
a subscription;un abonnement;2013-12-13;21;11;0.52;86.25
a figure;un chiffre;2013-12-13;21;11;0.52;86.25
to escalate;sintensifier. monter en flèche / remonter un problème;2013-12-13;20;12;0.6;87.5
a desk clerk;un réceptionniste;2013-12-13;20;-5;-0.25;87.5
liable;responsable;2013-12-13;15;9;0.6;93.75
to shut off;se couper. sarrêter;2013-12-13;24;5;0.21;82.5
caution (common name);la prudence;2013-12-13;32;21;0.66;72.5
a serial;un feuilleton;2013-12-13;21;11;0.52;86.25
a turnkey project;un projet clés en main;2013-12-13;23;15;0.65;83.75
a downtown;un centre-ville. un centre commerçant;2013-12-13;23;15;0.65;83.75
a suit;un costume / un procès;2013-12-13;23;12;0.52;83.75
a cleaner;une dame de ménage / un teinturier;2013-12-13;17;11;0.65;91.25
to keep to;ne pas sécarter de. respecter;2013-12-13;28;17;0.61;77.5
amenities;l'aménagement. l'équipement;2013-12-13;28;-5;-0.18;77.5
to amend;modifier;2013-12-13;28;17;0.61;77.5
regardless of;sans tenir compte de;2013-12-13;23;18;0.78;83.75
to take on;prendre. accepter. se charger de / embaucher / sattaquer à;2013-12-13;31;6;0.19;73.75
to be entitled to;avoir droit à;2013-12-13;22;-4;-0.18;85.0
barter (common name);du troc;2013-12-13;25;5;0.2;81.25
a closet;une armoire. un placard. une penderie;2013-12-13;28;17;0.61;77.5
interplay (adj.);réciproque;2013-12-13;20;4;0.2;87.5
a corporate lawyer;un juriste dentreprise;2013-12-13;23;18;0.78;83.75
a welfare system;un système de protection sociale;2013-12-13;28;17;0.61;77.5
wares;les marchandises;2013-12-13;28;17;0.61;77.5
arrangements;les mesures. les dispositions. les préparatifs;2013-12-13;17;9;0.53;91.25
besides (adv.);dailleurs. du reste. en outre;2013-12-13;20;13;0.65;87.5
to expand;se développer. saccroître;2013-12-13;19;10;0.53;88.75
a commercial;une publicité (radio / télévision);2013-12-13;19;10;0.53;88.75
on the spot;sur-le-champ /  sur place;2013-12-13;19;10;0.53;88.75
to dismiss;licencier / abandonner / rejeter;2013-12-13;17;6;0.35;91.25
to come through;sen tirer;2013-12-13;20;8;0.4;87.5
to comply with;être conforme à. respecter;2013-12-13;23;15;0.65;83.75
an allowance;une allocation. une indemnité / une réduction. un rabais;2013-12-13;18;-4;-0.22;90.0
a bumper;un pare-chocs;2013-12-13;18;-4;-0.22;90.0
a scope;une portée. une étendue. un champ daction. un domaine;2013-12-13;23;15;0.65;83.75
mainstream (adj.);majoritaire;2013-12-13;32;21;0.66;72.5
to register;sinscrire;2013-12-13;25;15;0.6;81.25
a supervisor;un agent de maîtrise. un chef datelier;2013-12-13;18;14;0.78;90.0
the membership;l'adhésion / le nombre des membres;2013-12-13;22;17;0.77;85.0
to streamline;rationaliser. dégraisser. moderniser;2013-12-13;22;5;0.23;85.0
cash flow (common name);la trésorerie. la marge brute dautofinancement;2013-12-13;13;3;0.23;96.25
toll (common name);un péage;2013-12-13;21;5;0.24;86.25
a scheme;un plan. un système;2013-12-13;32;19;0.59;72.5
to downsize;réduire les effectifs;2013-12-13;18;7;0.39;90.0
a dealer;un marchand. un concessionnaire;2013-12-13;26;20;0.77;80.0
to come on;faire des progrès. avancer;2013-12-13;29;7;0.24;76.25
upscale (adj.);haut-de-gamme;2013-12-13;29;7;0.24;76.25
to enroll;sinscrire;2013-12-13;28;19;0.68;77.5
to cope with;faire face à;2013-12-13;18;4;0.22;90.0
commensurate with;de même mesure que. proportionné à;2013-12-13;26;20;0.77;80.0
chain stores;les grands magasins à succursales;2013-12-13;25;17;0.68;81.25
a casualty;un accident. un sinistre / une perte humaine;2013-12-13;25;17;0.68;81.25
premises (adj.) (prèmissiz);locaux;2013-12-13;25;17;0.68;81.25
an advance notice;un préavis;2013-12-13;16;6;0.38;92.5
capital goods;les biens déquipement;2013-12-13;19;16;0.84;88.75
moonlighting (common name);du travail non déclaré. un cumul demploi;2013-12-13;19;16;0.84;88.75
noxious;nuisible;2013-12-13;16;4;0.25;92.5
household goods;les produits ménagers;2013-12-13;26;20;0.77;80.0
a nuisance;un fléau;2013-12-13;20;-7;-0.35;87.5
a broker;un courtier en bourse;2013-12-13;22;15;0.68;85.0
retail (common name);la vente au détail;2013-12-13;21;13;0.62;86.25
a redundancy;une redondance / un licenciement;2013-12-13;27;6;0.22;78.75
to run out;expirer. sépuiser. venir à manquer;2013-12-13;22;17;0.77;85.0
a return (écon.);un rendement;2013-12-13;18;15;0.83;90.0
a registered mail;un courrier recommandé;2013-12-13;18;14;0.78;90.0
a debtor;un débiteur;2013-12-13;18;14;0.78;90.0
to market;commercialiser;2013-12-13;24;16;0.67;82.5
a grant;une subvention. une allocation. une bourse;2013-12-13;18;14;0.78;90.0
dealings (common name);des transactions;2013-12-13;18;12;0.67;90.0
a discount;une réduction. un rabais;2013-12-13;21;14;0.67;86.25
a stage;une étape. un stade (dun processus. ) / une scène de théâtre;2013-12-13;21;14;0.67;86.25
income tax;l'impôt sur le revenu;2013-12-13;21;14;0.67;86.25
to back out of;se retirer de. ne pas donner suite à;2013-12-13;25;13;0.52;81.25
a billboard;un panneau daffichage;2013-12-13;21;14;0.67;86.25
cordless;sans fil;2013-12-13;21;14;0.67;86.25
convenient;commode. pratique;2013-12-13;25;13;0.52;81.25
to forward;expédier. envoyer / transférer;2013-12-13;24;16;0.67;82.5
a background;un fond. un arrière-plan;2013-12-13;21;14;0.67;86.25
a libel;une diffamation. une calomnie;2013-12-13;18;12;0.67;90.0
an invoice;une facture;2013-12-13;27;18;0.67;78.75
deluxe;somptueux. de grand standing;2013-12-13;18;14;0.78;90.0
a bond;un lien / un titre. une obligation (fin.);2013-12-13;24;16;0.67;82.5
customs duty;les droits de douane;2013-12-13;24;16;0.67;82.5
to draft;rédiger;2013-12-13;20;12;0.6;87.5
the payroll;les effectifs. la paie globale;2013-12-13;20;12;0.6;87.5
a conveyor;un transporteur. un tapis roulant;2013-12-13;18;15;0.83;90.0
to qualify;remplir les conditions;2013-12-13;18;15;0.83;90.0
a caption;une légende. un sous-titre;2013-12-13;17;11;0.65;91.25
to sag;dégringoler. fléchir;2013-12-13;34;22;0.65;70.0
off-peak;en heures creuses;2013-12-13;17;11;0.65;91.25
to dispatch;expédier. envoyer;2013-12-13;23;18;0.78;83.75
to stand out;ressortir. se détacher / trancher;2013-12-13;26;16;0.62;80.0
an outage;une interruption de service. une coupure de courant;2013-12-13;16;10;0.63;92.5
networking;l'établissement dun réseau de relations;2013-12-13;16;10;0.63;92.5
to turn away sbdy;chasser. envoyer promener. rejeter qn;2013-12-13;31;5;0.16;73.75
a dispenser;un distributeur;2013-12-13;24;4;0.17;82.5
a factory floor;un atelier de production;2013-12-13;13;8;0.62;96.25
a severance package;une indemnité de licenciement;2013-12-13;26;16;0.62;80.0
a charge (forensic);une inculpation. un chef dinculpation;2013-12-13;24;15;0.63;82.5
domestic;national. intérieur;2013-12-13;26;16;0.62;80.0
no-frills;minimum. réduit à lessentiel;2013-12-13;20;11;0.55;87.5
to arise;survenir. se présenter. se poser;2013-12-13;24;15;0.63;82.5
to withstand;résister;2013-12-13;26;16;0.62;80.0
a directory;un dossier / un annuaire. les renseignements;2013-12-13;20;16;0.8;87.5
a downturn;une baisse. un repli. une récession;2013-12-13;30;-2;-0.07;75.0
presently;tout à lheure / à présent (USA);2013-12-13;25;20;0.8;81.25
a bracket;une parenthèse / une tranche (écon.) / un support;2013-12-13;28;-2;-0.07;77.5
accordingly;en conséquence;2013-12-13;20;16;0.8;87.5
a trolley;un chariot;2013-12-13;31;19;0.61;73.75
a joint-venture;une co-entreprise;2013-12-13;20;16;0.8;87.5
to compel;obliger;2013-12-13;27;17;0.63;78.75
to blackmail somebody;faire chanter quelqu'un;2013-12-13;24;13;0.54;82.5
long-range;à long terme;2013-12-13;20;16;0.8;87.5
to entail;entraîner;2013-12-13;19;7;0.37;88.75
to cash;encaisser;2013-12-13;13;8;0.62;96.25
a compensation;une indemnité. une rémunération;2013-12-13;21;17;0.81;86.25
to overcome;surmonter;2013-12-13;21;17;0.81;86.25
junk (common name);un déchet. un article mis au rebut;2013-12-13;21;13;0.62;86.25
stocks & shares;les valeurs. les titres. les actions;2013-12-13;18;10;0.56;90.0
economical;bon marché;2013-12-13;18;10;0.56;90.0
to pile up;saccumuler;2013-12-13;17;14;0.82;91.25
an estate;une propriété. un patrimoine;2013-12-13;17;14;0.82;91.25
eventually;finalement;2013-12-13;29;18;0.62;76.25
incoming mail;le courrier du jour;2013-12-13;22;18;0.82;85.0
a classified advertisement;une petite annonce;2013-12-13;21;13;0.62;86.25
to level off;se stabiliser après une hausse;2013-12-13;18;10;0.56;90.0
subcontracting (common name);la sous-traitance;2013-12-13;16;13;0.81;92.5
to caution;avertir;2013-12-13;26;4;0.15;80.0
round the clock;24h/24;2013-12-13;16;13;0.81;92.5
a concern;une entreprise;2013-12-13;29;16;0.55;76.25
change (common name);de la monnaie (pièces. billets);2013-12-13;27;15;0.56;78.75
to back up;soutenir;2013-12-13;17;0;0.0;91.25
an incentive;une prime. une récompense;2013-12-13;19;0;0.0;88.75
to plummet;baisser brusquement. dégringoler;2013-12-13;23;0;0.0;83.75
a hazard;un risque. un danger;2013-12-13;14;0;0.0;95.0
prospective (adj.);futur. éventuel. possible;2013-12-13;20;0;0.0;87.5
to endorse;appuyer. approuver. promouvoir;2013-12-13;33;0;0.0;71.25
a parcel;un paquet. un colis;2013-12-13;21;0;0.0;86.25
to go bust;faire faillite;2013-12-13;20;0;0.0;87.5
rates and taxes;les impôts et contributions;2013-12-13;21;17;0.81;86.25
a remote control;une télécommande;2013-12-13;15;12;0.8;93.75
household appliances;les appareils ménagers;2013-12-13;22;15;0.68;85.0
affluence;l'abondance. la richesse;2013-12-13;25;20;0.8;81.25
the directions;les indications. les instructions;2013-12-13;18;11;0.61;90.0
a wage-earner;un salarié;2013-12-13;16;3;0.19;92.5
bank holiday;un jour férié. un jour chômé légal;2013-12-13;23;14;0.61;83.75
the inception;le commencement. le début;2013-12-13;19;15;0.79;88.75
perks;les avantages divers;2013-12-13;19;15;0.79;88.75
a vocational training;une formation professionnelle;2013-12-13;19;15;0.79;88.75
a counter;un comptoir. un guichet;2013-12-13;25;16;0.64;81.25
matter-of-fact (adj.);neutre. qui se limite aux faits;2013-12-13;25;16;0.64;81.25
billing (common name);la facturation;2013-12-13;23;14;0.61;83.75
an agenda;un ordre du jour. un programme;2013-12-13;23;14;0.61;83.75
a savings bank;une caisse dépargne;2013-12-13;23;14;0.61;83.75
to subside;saffaisser. baisser. décroître;2013-12-13;33;6;0.18;71.25
a release;une publication. une parution / une libération;2013-12-13;19;15;0.79;88.75
a load;un poids. une charge. une pression;2013-12-13;14;9;0.64;95.0
in bulk;en gros;2013-12-13;14;11;0.79;95.0
to catch on;prendre. devenir populaire;2013-12-13;19;-3;-0.16;88.75
a spread;un écart;2013-12-13;25;-4;-0.16;81.25
mandatory;obligatoire;2013-12-13;23;14;0.61;83.75
a civil servant;un fonctionnaire;2013-12-13;14;11;0.79;95.0
tremendous;immense. énorme;2013-12-13;20;8;0.4;87.5
to ship;expédier;2013-12-13;23;19;0.83;83.75
disabled;handicapé;2013-12-13;17;9;0.53;91.25
an announcement;un avis. une annonce;2013-12-13;23;19;0.83;83.75
a shipment;une cargaison. un fret. une expédition;2013-12-13;19;15;0.79;88.75
a break up;un démantèlement;2013-12-13;28;5;0.18;77.5
stock option;un droit (préférentiel) de souscription;2013-12-13;15;8;0.53;93.75
a garbage;une ordure;2013-12-13;30;16;0.53;75.0
fringe benefits / fringe;les avantages divers / marginal;2013-12-13;23;4;0.17;83.75
manpower (common name);la main duvre;2013-12-13;18;11;0.61;90.0
an estimate;un devis;2013-12-13;21;-2;-0.1;86.25
a merger;une fusion (écon.);2013-12-13;20;16;0.8;87.5
a refund;un remboursement;2013-12-13;23;19;0.83;83.75
capital gain (common name);la plus-value;2013-12-13;17;3;0.18;91.25
a landmark;un point de repère;2013-12-13;24;19;0.79;82.5
health benefits;les indemnités maladie;2013-12-13;23;19;0.83;83.75
a backlash;un contrecoup. un effet boomerang;2013-12-13;20;-2;-0.1;87.5
credit rating (common name);la solvabilité;2013-12-13;24;19;0.79;82.5
social security benefits;les prestations sociales;2013-12-13;24;19;0.79;82.5
to prime;mettre au courant;2013-12-13;25;9;0.36;81.25
to lay off;licencier;2013-12-13;23;19;0.83;83.75
previous / prior (adj.);antécédent. antérieur;2013-12-13;22;14;0.64;85.0
readily;facilement. aisément;2013-12-13;24;3;0.13;82.5
a lawsuit;une poursuite judiciaire;2013-12-13;22;14;0.64;85.0
to devise;concevoir;2013-12-13;22;14;0.64;85.0
a cash point;un distributeur de billet;2013-12-13;22;14;0.64;85.0
to rent;louer;2013-12-13;28;15;0.54;77.5
freight (common name);le fret;2013-12-13;22;14;0.64;85.0
to swap;échanger;2013-12-13;22;14;0.64;85.0
a drag;un boulet. une entrave. une résistance;2013-12-13;16;2;0.13;92.5
to look out;faire attention. prendre garde;2013-12-13;13;5;0.38;96.25
to flourish;prospérer. être en plein essor;2013-12-13;31;19;0.61;73.75
to be stuck;être coincé;2013-12-13;22;15;0.68;85.0
disposal of waste;l'élimination des déchets;2013-12-13;13;10;0.77;96.25
a bail;une liberté sous caution / une caution;2013-12-13;13;-7;-0.54;96.25
a hard currency;une devise forte;2013-12-13;18;13;0.72;90.0
a manslaughter;un homicide involontaire;2013-12-13;18;13;0.72;90.0
sales (common name);les soldes / le chiffre daffaire / le départment commercial;2013-12-13;18;13;0.72;90.0
to drop off;déposer. laisser;2013-12-13;18;13;0.72;90.0
a leaflet;un prospectus;2013-12-13;18;13;0.72;90.0
the profitability;la rentabilité;2013-12-13;18;13;0.72;90.0
to post;annoncer;2013-12-13;18;13;0.72;90.0
the ceiling;le plafond;2013-12-13;23;11;0.48;83.75
to undergo;subir;2013-12-13;26;15;0.58;80.0
a charter;une charte / un affrètement;2013-12-13;21;10;0.48;86.25
a cargo;une cargaison;2013-12-13;23;11;0.48;83.75
a tariff;un tarif douanier;2013-12-13;21;10;0.48;86.25
a bid;une offre. une enchère;2013-12-13;23;10;0.43;83.75
the proceeds;les recettes. le produit;2013-12-13;25;11;0.44;81.25
an equity;une action (finance);2013-12-13;29;21;0.72;76.25
foodstuffs;les denrées alimentaires;2013-12-13;29;21;0.72;76.25
subsidized;subventionné;2013-12-13;29;21;0.72;76.25
a haulage;un transport routier;2013-12-13;14;1;0.07;95.0
a paycheck;un salaire;2013-12-13;25;11;0.44;81.25
catering (common name);une restauration. un ravitaillement;2013-12-13;25;11;0.44;81.25
a dole;une indemnité de chômage;2013-12-13;14;-9;-0.64;95.0
junior;de grade inférieur;2013-12-13;22;16;0.73;85.0
throughout;tout au long de;2013-12-13;33;19;0.58;71.25
an array;un déploiement. un étalage / un éventail;2013-12-13;18;8;0.44;90.0
a memorandum;une note de service;2013-12-13;20;6;0.3;87.5
a trade-in;une reprise (comm.);2013-12-13;21;9;0.43;86.25
a shelter;un abri;2013-12-13;25;19;0.76;81.25
to scatter;éparpiller. disperser;2013-12-13;29;22;0.76;76.25
a rating;une estimation. une évaluation. un taux;2013-12-13;21;15;0.71;86.25
to spot;repérer;2013-12-13;29;22;0.76;76.25
a rally;un évènement. une réunion;2013-12-13;21;15;0.71;86.25
a household;un ménage (écon.);2013-12-13;14;10;0.71;95.0
an accountant;un comptable;2013-12-13;21;15;0.71;86.25
to gear;adapter. ajuster;2013-12-13;15;-8;-0.53;93.75
an attendant;un domestique. un gardien;2013-12-13;17;-6;-0.35;91.25
a junk mail;un courrier publicitaire;2013-12-13;21;15;0.71;86.25
exhaust fumes;les gaz déchappement;2013-12-13;19;11;0.58;88.75
a publisher;un éditeur;2013-12-13;21;15;0.71;86.25
sneakers;des chaussures de sport;2013-12-13;28;20;0.71;77.5
a shed;un hangar. un abri. un cabanon;2013-12-13;24;14;0.58;82.5
a strike;une grève;2013-12-13;24;14;0.58;82.5
a malpractice;une faute professionnelle / une négligence;2013-12-13;28;8;0.29;77.5
to waive;renoncer à. abandonner;2013-12-13;35;15;0.43;68.75
an incorporation;une fusion;2013-12-13;27;13;0.48;78.75
an officer;un officier / un fonctionnaire. un membre du comité directeur;2013-12-13;31;18;0.58;73.75
